,,,-2.2199999E-6,4.00000019E-3,,,,,-2.2199999E-6,0.0,,,,,-2.2199999E-6,0.0,,,,,-2.2199999E-6,-200.00000298E-3,,,,,-2.2199999E-6,0.0,
,,,-2.1999999E-6,2.0000001E-3,,,,,-2.1999999E-6,0.0,,,,,-2.1999999E-6,-200.00000298E-3,,,,,-2.1999999E-6,0.0,,,,,-2.1999999E-6,-400.00000596E-3,
,,,-2.1799999E-6,0.0,,,,,-2.1799999E-6,0.0,,,,,-2.1799999E-6,0.0,,,,,-2.1799999E-6,0.0,,,,,-2.1799999E-6,0.0,
,,,-2.1599999E-6,0.0,,,,,-2.1599999E-6,-4.00000019E-3,,,,,-2.1599999E-6,200.00000298E-3,,,,,-2.1599999E-6,0.0,,,,,-2.1599999E-6,0.0,
,,,-2.1400001E-6,6.00000005E-3,,,,,-2.1400001E-6,0.0,,,,,-2.1400001E-6,0.0,,,,,-2.1400001E-6,0.0,,,,,-2.1400001E-6,0.0,
,,,-2.1200001E-6,0.0,,,,,-2.1200001E-6,-4.00000019E-3,,,,,-2.1200001E-6,0.0,,,,,-2.1200001E-6,200.00000298E-3,,,,,-2.1200001E-6,-400.00000596E-3,
,,,-2.1000001E-6,2.0000001E-3,,,,,-2.1000001E-6,0.0,,,,,-2.1000001E-6,0.0,,,,,-2.1000001E-6,0.0,,,,,-2.1000001E-6,0.0,
,,,-2.0800001E-6,0.0,,,,,-2.0800001E-6,0.0,,,,,-2.0800001E-6,200.00000298E-3,,,,,-2.0800001E-6,200.00000298E-3,,,,,-2.0800001E-6,0.0,
,,,-2.0600000E-6,0.0,,,,,-2.0600000E-6,0.0,,,,,-2.0600000E-6,200.00000298E-3,,,,,-2.0600000E-6,0.0,,,,,-2.0600000E-6,0.0,
,,,-2.0400000E-6,4.00000019E-3,,,,,-2.0400000E-6,0.0,,,,,-2.0400000E-6,-200.00000298E-3,,,,,-2.0400000E-6,-200.00000298E-3,,,,,-2.0400000E-6,0.0,
,,,-2.0200000E-6,2.0000001E-3,,,,,-2.0200000E-6,0.0,,,,,-2.0200000E-6,0.0,,,,,-2.0200000E-6,200.00000298E-3,,,,,-2.0200000E-6,-400.00000596E-3,
,,,-2.0000000E-6,-20.0000014E-3,,,,,-2.0000000E-6,-8.000000380E-3,,,,,-2.0000000E-6,0.0,,,,,-2.0000000E-6,0.0,,,,,-2.0000000E-6,0.0,
,,,-1.9800000E-6,8.000000380E-3,,,,,-1.9800000E-6,32.00000152E-3,,,,,-1.9800000E-6,-200.00000298E-3,,,,,-1.9800000E-6,200.00000298E-3,,,,,-1.9800000E-6,-400.00000596E-3,
,,,-1.9600000E-6,-20.0000014E-3,,,,,-1.9600000E-6,52.00000107E-3,,,,,-1.9600000E-6,-200.00000298E-3,,,,,-1.9600000E-6,400.00000596E-3,,,,,-1.9600000E-6,-800.000011921E-3,
,,,-1.9399999E-6,-36.00000218E-3,,,,,-1.9399999E-6,56.000001729E-3,,,,,-1.9399999E-6,-400.00000596E-3,,,,,-1.9399999E-6,200.00000298E-3,,,,,-1.9399999E-6,-800.000011921E-3,
,,,-1.9199999E-6,-42.00000316E-3,,,,,-1.9199999E-6,76.000005007E-3,,,,,-1.9199999E-6,-800.000011921E-3,,,,,-1.9199999E-6,800.000011921E-3,,,,,-1.9199999E-6,-1.6000000,
,,,-1.9000000E-6,6.00000005E-3,,,,,-1.9000000E-6,120.0000048E-3,,,,,-1.9000000E-6,-600.000023842E-3,,,,,-1.9000000E-6,800.000011921E-3,,,,,-1.9000000E-6,-1.6000000,
,,,-1.8800000E-6,-12.0000001E-3,,,,,-1.8800000E-6,76.000005007E-3,,,,,-1.8800000E-6,-1.000000,,,,,-1.8800000E-6,800.000011921E-3,,,,,-1.8800000E-6,-2.0000000,
,,,-1.8600000E-6,-36.00000218E-3,,,,,-1.8600000E-6,80.000005662E-3,,,,,-1.8600000E-6,-1.2000000,,,,,-1.8600000E-6,600.000023842E-3,,,,,-1.8600000E-6,-2.0000000,
,,,-1.8400000E-6,-10.0000007E-3,,,,,-1.8400000E-6,112.0000035E-3,,,,,-1.8400000E-6,-1.000000,,,,,-1.8400000E-6,800.000011921E-3,,,,,-1.8400000E-6,-2.0000000,
,,,-1.8200000E-6,-10.0000007E-3,,,,,-1.8200000E-6,88.000006974E-3,,,,,-1.8200000E-6,-1.000000,,,,,-1.8200000E-6,800.000011921E-3,,,,,-1.8200000E-6,-2.0000000,
,,,-1.7999999E-6,-30.00000119E-3,,,,,-1.7999999E-6,68.000003695E-3,,,,,-1.7999999E-6,-1.2000000,,,,,-1.7999999E-6,600.000023842E-3,,,,,-1.7999999E-6,-2.0000000,
